time	est_speed	baro_speed	gps_speed	vel_z_pid_output	vel_z_pid_err	vel_z_I	gps_status	healthy	state	mav_mode
180588	1.1521	1.4132	0.7900	0.0593	0.1009	0.0791	2	1	0	192
180638	1.0893	1.4342	0.7900	0.0593	0.1009	0.0791	2	0	0	192
180688	1.0169	1.5436	0.7900	0.0593	0.1009	0.0791	2	0	0	192
180738	0.9532	1.4398	0.7900	0.0593	0.1009	0.0791	2	1	0	192
180788	0.9138	1.5398	0.6100	0.0593	0.1009	0.0791	2	1	0	192
180838	0.8855	1.4062	0.6100	0.0593	0.1009	0.0791	2	0	0	192
180888	0.9510	1.3097	0.6100	0.0593	0.1009	0.0791	2	0	0	192
180938	1.0071	1.0184	0.6100	0.0593	0.1009	0.0791	2	1	0	192
180988	1.0274	0.8433	0.1399	0.0593	0.1009	0.0791	2	1	0	192
181038	0.9814	0.7271	0.1399	0.0593	0.1009	0.0791	2	1	0	192
181088	0.9402	0.7791	0.1399	0.0593	0.1009	0.0791	2	1	0	192
181138	0.9006	0.7503	0.1399	0.0593	0.1009	0.0791	2	1	0	192
181188	0.8668	0.7371	0.1399	0.0593	0.1009	0.0791	2	1	0	192
181238	0.8291	0.8843	0.1399	0.0593	0.1009	0.0791	2	1	0	192
181288	0.7946	0.9445	0.4599	0.0593	0.1009	0.0791	2	1	0	192
181338	0.8318	0.9967	0.4599	0.0593	0.1009	0.0791	2	0	0	192
181388	0.8763	0.7833	0.4599	0.0593	0.1009	0.0791	2	0	0	192
181438	0.8962	0.8265	0.4599	0.0593	0.1009	0.0791	2	0	0	192
181488	0.8949	0.8338	0.6000	0.0593	0.1009	0.0791	2	0	0	192
181538	0.9099	0.8188	0.6000	0.0593	0.1009	0.0791	2	0	0	192
181588	0.9569	0.9585	0.6000	0.0593	0.1009	0.0791	2	0	0	192
181638	1.0347	1.0003	0.6000	0.0593	0.1009	0.0791	2	1	0	192
181688	1.1025	1.0070	0.6000	0.0593	0.1009	0.0791	2	1	0	192
181738	1.1362	1.0756	0.6000	0.0593	0.1009	0.0791	2	0	0	192
181788	1.1386	0.9896	0.3000	0.0593	0.1009	0.0791	2	0	0	192
181838	1.1066	0.9964	0.3000	0.0593	0.1009	0.0791	2	1	0	192
181888	1.0733	0.9805	0.3000	0.0593	0.1009	0.0791	2	1	0	192
181938	1.0485	0.9491	0.3000	0.0593	0.1009	0.0791	2	0	0	192
181988	1.0429	0.8615	0.3199	0.0593	0.1009	0.0791	2	0	0	192
182038	1.0035	0.9711	0.3199	0.0593	0.1009	0.0791	2	1	0	192
182088	0.9694	1.0064	0.3199	0.0593	0.1009	0.0791	2	1	0	192
182138	0.9571	1.0024	0.3199	0.0593	0.1009	0.0791	2	1	0	192
182188	0.9452	0.6408	0.3199	0.0593	0.1009	0.0791	2	1	0	192
182238	0.9390	0.8445	0.3199	0.0593	0.1009	0.0791	2	1	0	192
182288	0.9522	0.9030	1.0000	0.0593	0.1009	0.0791	2	1	0	192
182338	1.0642	0.9135	1.0000	0.0593	0.1009	0.0791	2	1	0	192
182388	1.1366	0.8981	1.0000	0.0593	0.1009	0.0791	2	1	0	192
182438	1.1382	0.8251	1.0000	0.0593	0.1009	0.0791	2	1	0	192
182488	1.1304	0.7089	1.3899	0.0593	0.1009	0.0791	2	1	0	192
182538	1.1208	0.6323	1.3899	0.0593	0.1009	0.0791	2	1	0	192
182588	1.0786	0.4097	1.3899	0.0593	0.1009	0.0791	2	1	0	192
182638	1.0610	0.4439	1.3899	0.0593	0.1009	0.0791	2	1	0	192
182688	1.0374	0.4599	1.3899	0.0593	0.1009	0.0791	2	1	0	192
182738	0.9918	0.5002	1.3899	0.0593	0.1009	0.0791	2	0	0	192
182788	0.9787	0.5100	1.0099	0.0593	0.1009	0.0791	2	0	0	192
182838	0.9471	0.5262	1.0099	0.0593	0.1009	0.0791	2	1	0	192
182888	0.9547	0.5412	1.0099	0.0593	0.1009	0.0791	2	1	0	192
182938	0.9549	0.5367	1.0099	0.0593	0.1009	0.0791	2	1	0	192
182988	0.9895	0.5226	0.4300	0.0593	0.1009	0.0791	2	1	0	192
183038	0.9424	0.7301	0.4300	0.0593	0.1009	0.0791	2	1	0	192
183088	0.9062	0.7485	0.4300	0.0593	0.1009	0.0791	2	1	0	192
183138	0.8708	0.6568	0.4300	0.0593	0.1009	0.0791	2	1	0	192
183188	0.8439	0.6364	0.4300	0.0593	0.1009	0.0791	2	1	0	192
183238	0.8086	0.6041	0.4300	0.0593	0.1009	0.0791	2	1	0	192
183288	0.7843	0.7069	0.5799	0.0593	0.1009	0.0791	2	1	0	192
183338	0.7495	0.7870	0.5799	0.0593	0.1009	0.0791	2	1	0	192
183388	0.6848	0.7690	0.5799	0.0593	0.1009	0.0791	2	1	0	192
183438	0.6145	0.5722	0.5799	0.0593	0.1009	0.0791	2	1	0	192
183488	0.5411	0.4547	0.6000	0.0593	0.1009	0.0791	2	1	0	192
183538	0.5185	0.1758	0.6000	0.0593	0.1009	0.0791	2	1	0	192
183588	0.4956	-0.1424	0.6000	0.0593	0.1009	0.0791	2	1	0	192
183638	0.5265	0.1150	0.6000	0.0593	0.1009	0.0791	2	1	0	192
183688	0.6041	0.3381	0.6000	0.0593	0.1009	0.0791	2	1	0	192
183738	0.6480	0.4053	0.6000	0.0593	0.1009	0.0791	2	1	0	192
183788	0.6845	0.4311	0.0599	0.0593	0.1009	0.0791	2	1	0	192
183838	0.6701	0.3869	0.0599	0.0593	0.1009	0.0791	2	1	0	192
183888	0.6458	0.4871	0.0599	0.0593	0.1009	0.0791	2	1	0	192
183938	0.6443	0.3598	0.0599	0.0593	0.1009	0.0791	2	1	0	192
183988	0.6392	0.4539	0.1500	0.0593	0.1009	0.0791	2	1	0	192
184038	0.6443	0.3230	0.1500	0.0593	0.1009	0.0791	2	1	0	192
184088	0.6396	0.6994	0.1500	0.0593	0.1009	0.0791	2	1	0	192
